BioSample,LibraryName,Run,fq1,fq2,SampleType
GAL-022,GAL-022,175,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S106_L008_R2_001.fastq.gz,include
GAL-022,GAL-022,176,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S226_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-022_S226_L007_R2_001.fastq.gz,include
GAL-023,GAL-023,177,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L002_R2_001.fastq.gz,include
GAL-023,GAL-023,178,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L003_R2_001.fastq.gz,include
GAL-023,GAL-023,179,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L004_R2_001.fastq.gz,include
GAL-023,GAL-023,180,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L005_R2_001.fastq.gz,include
GAL-023,GAL-023,181,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L006_R2_001.fastq.gz,include
GAL-023,GAL-023,182,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L007_R2_001.fastq.gz,include
GAL-023,GAL-023,183,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S107_L008_R2_001.fastq.gz,include
GAL-023,GAL-023,184,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S227_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-023_S227_L007_R2_001.fastq.gz,include
GAL-024,GAL-024,185,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L002_R2_001.fastq.gz,include
GAL-024,GAL-024,186,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L003_R2_001.fastq.gz,include
GAL-024,GAL-024,187,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L004_R2_001.fastq.gz,include
GAL-024,GAL-024,188,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L005_R2_001.fastq.gz,include
GAL-024,GAL-024,189,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L006_R2_001.fastq.gz,include
GAL-024,GAL-024,190,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L007_R2_001.fastq.gz,include
GAL-024,GAL-024,191,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S108_L008_R2_001.fastq.gz,include
GAL-024,GAL-024,192,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S228_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-024_S228_L007_R2_001.fastq.gz,include
GAL-025,GAL-025,193,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L002_R2_001.fastq.gz,include
GAL-025,GAL-025,194,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L003_R2_001.fastq.gz,include
GAL-025,GAL-025,195,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L004_R2_001.fastq.gz,include
GAL-025,GAL-025,196,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L005_R2_001.fastq.gz,include
GAL-025,GAL-025,197,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L006_R2_001.fastq.gz,include
GAL-025,GAL-025,198,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L007_R2_001.fastq.gz,include
GAL-025,GAL-025,199,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S109_L008_R2_001.fastq.gz,include
GAL-025,GAL-025,200,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S229_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-025_S229_L007_R2_001.fastq.gz,include
GAL-026,GAL-026,201,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L002_R2_001.fastq.gz,include
GAL-026,GAL-026,202,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L003_R2_001.fastq.gz,include
GAL-026,GAL-026,203,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L004_R2_001.fastq.gz,include
GAL-026,GAL-026,204,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L005_R2_001.fastq.gz,include
GAL-026,GAL-026,205,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L006_R2_001.fastq.gz,include
GAL-026,GAL-026,206,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L007_R2_001.fastq.gz,include
GAL-026,GAL-026,207,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S110_L008_R2_001.fastq.gz,include
GAL-026,GAL-026,208,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S230_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-026_S230_L007_R2_001.fastq.gz,include
GAL-027,GAL-027,209,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L002_R2_001.fastq.gz,include
GAL-027,GAL-027,210,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L003_R2_001.fastq.gz,include
GAL-027,GAL-027,211,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L004_R2_001.fastq.gz,include
GAL-027,GAL-027,212,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L005_R2_001.fastq.gz,include
GAL-027,GAL-027,213,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L006_R2_001.fastq.gz,include
GAL-027,GAL-027,214,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L007_R2_001.fastq.gz,include
GAL-027,GAL-027,215,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L008_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S111_L008_R2_001.fastq.gz,include
GAL-027,GAL-027,216,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S231_L007_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-027_S231_L007_R2_001.fastq.gz,include
GAL-028,GAL-028,217,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L002_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L002_R2_001.fastq.gz,include
GAL-028,GAL-028,218,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L003_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L003_R2_001.fastq.gz,include
GAL-028,GAL-028,219,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L004_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L004_R2_001.fastq.gz,include
GAL-028,GAL-028,220,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L005_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L005_R2_001.fastq.gz,include
GAL-028,GAL-028,221,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L006_R1_001.fastq.gz,/home2/jdo53/snpArcher_Projects/full_210_samples/data/GAL-028_S112_L006_R2_001.fastq.gz,include
