,Darwin,Espanola,Floreana,Genovesa,Isabela Sur,Isabela Oeste,Isabela Este,Marchena,Pinta,San Cristobal,Santa Cruz,Santiago,Wolf
GAL-204,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-024,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-070,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-086,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-197,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-067,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-116,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-110,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-078,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-175,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-201,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-147,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-140,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-192,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-171,   0,0,0,0,0,0,0,0,0,0,0,1,0
GAL-101,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-199,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-009,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-001,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-134,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-157,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-138,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-136,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-208,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-122,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-106,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-052,   0,0,0,0,0,0,1,0,0,0,0,0,0
GAL-082,   0,0,0,0,0,0,0,0,0,0,0,0,1
GAL-186,   0,0,0,0,0,0,0,0,0,0,0,0,1
GAL-031,   0,0,0,0,0,0,0,0,0,0,0,0,1
GAL-029,   1,0,0,0,0,0,0,0,0,0,0,0,0
GAL-072,   1,0,0,0,0,0,0,0,0,0,0,0,0
GAL-209,   1,0,0,0,0,0,0,0,0,0,0,0,0
GAL-063,   1,0,0,0,0,0,0,0,0,0,0,0,0
GAL-102,   1,0,0,0,0,0,0,0,0,0,0,0,0
GAL-160,   1,0,0,0,0,0,0,0,0,0,0,0,0
